#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Myosin_tail_1        PF01576.17  1081 sp_P35579_MYH9_HUMAN -           1960         0 1675.3 313.4   1   1         0         0 1675.1 313.4     1  1081   841  1921   841  1921 1.00 Myosin tail
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   1   5         0         0 1024.3   0.9     1   677    83   764    83   764 0.98 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   2   5         8   1.6e+04  -14.5  13.9   393   518   940  1063   936  1154 0.56 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   3   5      0.75   1.5e+03   -3.1   1.6   534   597  1166  1224  1126  1234 0.53 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   4   5         4   8.1e+03   -5.5   4.1   480   578  1451  1553  1412  1573 0.59 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   5   5      0.47   9.5e+02   -2.5   2.8   517   575  1761  1818  1742  1823 0.60 Myosin head (motor domain)
Myosin_N             PF02736.17    40 sp_P35579_MYH9_HUMAN -           1960   6.8e-10   38.5   2.4   1   1   8.1e-13   1.7e-09   37.2   2.4     1    40    29    69    29    69 0.99 Myosin N-terminal SH3-like domain
IQ                   PF00612.25    21 sp_P35579_MYH9_HUMAN -           1960   0.00033   20.0   0.1   1   1   5.5e-07    0.0011   18.4   0.1     4    20   783   799   780   800 0.91 IQ calmodulin-binding motif
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   1  16       1.9   3.9e+03   -1.9   0.2    25    61    56    92    43    95 0.80 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   2  16         8   1.6e+04   -6.3  14.9    26   101   839   914   829   916 0.81 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   3  16       4.5   9.1e+03   -3.1  16.6    10    57   906   954   897   965 0.79 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   4  16         8   1.6e+04   -4.1   6.2    14    53   995  1030   982  1047 0.45 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   5  16      0.45   9.2e+02    0.1   7.5     4    65  1013  1071  1006  1071 0.56 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   6  16   2.9e-07   0.00059   20.0  21.2     9   101  1052  1149  1043  1152 0.83 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   7  16       1.3   2.6e+03   -1.4  12.3     7    57  1174  1224  1167  1238 0.82 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   8  16       2.5   5.1e+03   -2.3   9.2    17   103  1244  1331  1231  1332 0.70 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2   9  16      0.66   1.4e+03   -0.5  17.5     5    91  1323  1420  1317  1433 0.68 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  10  16         8   1.6e+04   -7.5   9.1    13    49  1415  1454  1402  1496 0.62 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  11  16       4.7   9.6e+03   -3.2  16.6    13    94  1487  1570  1472  1577 0.78 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  12  16         8   1.6e+04   -6.8  23.3    10    99  1530  1625  1522  1630 0.80 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  13  16       1.5     3e+03   -1.6   7.9    10    56  1609  1655  1595  1664 0.71 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  14  16         8   1.6e+04   -9.9  31.0     8   103  1669  1797  1662  1798 0.84 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  15  16      0.87   1.8e+03   -0.8   6.4    12    58  1801  1847  1793  1852 0.80 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
CC2-LZ               PF16516.3    104 sp_P35579_MYH9_HUMAN -           1960   0.00059   20.0  21.2  16  16     0.085   1.7e+02    2.4   9.0     8    62  1860  1918  1853  1922 0.75 Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   1  15         8   1.6e+04   -6.7  16.1    46   119   841   914   834   921 0.90 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   2  15      0.32   6.5e+02    0.2  23.4    52   127   893   968   885   974 0.82 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   3  15      0.88   1.8e+03   -1.2   9.7    65   125   969  1029   965  1034 0.86 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   4  15   4.1e-05     0.083   12.8  14.6    41   113  1029  1102  1027  1105 0.82 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   5  15       0.3   6.2e+02    0.3  25.1    45   150  1089  1194  1087  1196 0.96 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   6  15     0.038        78    3.2  24.9    54   151  1165  1262  1157  1263 0.91 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   7  15      0.06   1.2e+02    2.6   6.3    58   108  1285  1335  1279  1337 0.89 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   8  15     0.012        25    4.8  13.6    48   125  1317  1394  1314  1397 0.93 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3   9  15      0.56   1.1e+03   -0.6  11.0    55   117  1394  1456  1391  1479 0.88 Afadin- and alpha -actinin-Binding
